praise|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS002.mp3|In Praise of God|التَّحْمِيدُ لِلَّهِ عَزَّ وَ جَلَّ| When he (upon him be peace) began to supplicate, he would begin with praise and laudation of God (Mighty and Majestic is He).
blessings|dua|Sahifa-e-Sajjdiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS002.mp3|Blessing upon Muhammad and his Household| الصَّلَاةُ عَلَى مُحَمَّدٍ وَ آلِهِ| After this praise of God he (upon him be peace) would supplicate by calling down blessings upon God's Messenger (God bless him and his Household)
throne|dua|Sahifa-e-Sajjdiya|http://|Blessing upon the Bearers of the Throne|الصَّلَاةُ عَلَى حَمَلَةِ الْعَرْشِ و كلّ مَلَكٍ مقرّبٍ |A Supplication in Calling down Blessings upon the Bearers of the Throne and Every Angel Brought Night
attesters|dua|Sahifa-e-Sajjdaiya|http://|Blessing upon the Attesters to the Messengers|iهم| His Supplication in Calling down Blessings upon the Followers of, and Attesters to, the Messengers
guardianship|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS005.mp3|Supplication for himself and the People under his Guardianship |دُعَاؤُهُ لِنَفسِهِ وَ اهل وِِلايتهِ| His Supplication for himself and thePeople under his Guardianship
morneve|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS006.mp3|Supplication in the Morning and Evening  | دُعَاؤُهُ عِنْدَ الصَّبَاحِ وَ الْمَسَاءِ|His Supplication in the Morning and Evening
worrisome|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS007.mp3|Supplication in Worrisome Tasks  |اؤُهُ فِي الْمُهِمَّاتِ| His Supplication when Faced with a Worrisome Task or when Misfortune Descended and at the Time of Distress
refuge|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS008.mp3|Supplication in Seeking Refuge | دُعَاؤُهُ فِي الِاسْتِعَاذَةِ مِنَ المَكارِهِ| His Supplication in Seeking Refuge from Hateful Things, Bad Moral Qualities, and Blameworthy Acts
forgiveness|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS009.mp3|Supplication in Yearning | دُعَاؤُهُ فِي الِاشْتِيَاقِ الى طَلَبِ المَغفِرَةِ مِن الله|His Supplication in Yearning to Ask Forgiveness from God
asylum|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS010.mp3|Supplication in Seeking Asylum with God  | دُعَاؤُهُ فِي اللَّجَإِ إِلَى اللَّهِ تَعَالَى| His Supplication in Seeking Asylum with God
good|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS011.mp3|Supplication for Good Outcomes   | دُعَاؤُهُ بِخَوَاتِمِ الْخَيْرِ| His Supplication for Good Outcomes
confession|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS012.mp3|Supplication in Confession | دُعَاؤُهُ فِي الِاعْتِرَافِ و طَلَبِ التَوبَةِ الى الله تعالى | His Supplication in Confession and in Seeking Repentance toward God
needs|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS013.mp3|Supplication in Seeking Needs  | دُعَاؤُهُ فِي طَلَبِ الْحَوَائِجِ الى الله تعالى| His Supplication in Seeking Needs from God
wrongdoing|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS014.mp3|Supplication in Acts of Wrongdoing   | دُعَاؤُهُ فِي الظُّلَامَاتِ| His Supplication when Hostility was Shown to Him or when he Saw what he did not Like in Wrongdoers
sick|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS015.mp3|Supplication When Sick | دُعَاؤُهُ عِنْدَ الْمَرَضِ| His Supplication when Sick
sins|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS016.mp3|Supplication in Asking for Release from Sins   | دُعَاؤُهُ فِي الِاسْتِقَالَةِ مِِن ذُنوبِهِ و طَلَبِ العَفو| His Supplication in Asking for Release from Sins 
satan|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS017.mp3|Supplication Against Satan   | دُعَاؤُهُ إذا ذُكِرَ الشيطان فَاستَعاذَ مِنهُِ| His Supplication Against Satan
perils|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS018.mp3|Supplication in Perils   | دُعَاؤُهُ إذا دُفِعَ عَنهُ ما يَحذَرُ او عُجّلَ لَهُ مَطلَبُهُ | When Perils were repelled or Requests quickly granted
drought|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS.mp3|Supplication in Asking for Rain during a Drought   | دُعَاؤُهُ فِي الِاسْتِسْقَاءِ| His Supplication in Asking for Water during a Drought
|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS.mp3|Supplication on Noble Moral Traits (Makarimul Akhlaq)  |arabic| his Du'a has been taught by Imam Sajjad (as) and is a clear indication of the loftiness of moral virtues expected of a believer. Islam believes in the elevation of the human being, that a human is a great and dignified creation, far above the animal world. One of the signs of this dignity is the possession of noble and magnanimous qualities.
sorrow|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS021.mp3|Supplication in Sorrow | دُعَاؤُهُ إِذَا حَزَنَهُ أَمْرٌ| His Supplication when Something Made him Sorrowful and Offenses Made him Worry
hardship|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS022.mp3|Supplication in Hardship | اللُمور| His Supplication in Hardship, Effort, and Difficult Affairs
wellbeing|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS023.mp3|Supplication for Well-Being  | دُعَاؤُهُ بِالْعَافِيَةِ| His Supplication when he Asked God for Well-Being and Thanked Him for it 
parents|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS024.mp3|Supplication for his Parents |  دُعَاؤُهُ لِأَبَوَيْهِ|His Supplication for his Parents ( peace be upon them)
children|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS025.mp3|Supplication for his Children  | دُعَاؤُهُ لِوُلْدِهِ | His Supplication for his Children
|dua|Sahifa-e-Sajjadiya|http://mp3.duas.org/Sahifa%20Sajjadia/SS.mp3|Supplication for his Neighbours and Friends  |arabic| His Supplication for his Neighbours and Friends 
